Brand,Model,Price,Year,Mileage,Engine_type,Transmission,Color,Bodywork,Doors_num,Steering_wheel,Vin,Owners_num,Tech_condition,Horsepower,Engine_capacity
Audi,A4,2 390 000 q,,12 946,бензин,автомат,черный,седан,,левый,,,,150 л.с.,1.4
Audi,Q7,4 075 000 q,,75 264,дизель,автомат,синий,,,левый,,,,249 л.с.,3.0
Audi,Q5,1 552 000 q,,287 144,дизель,автомат,белый,,,левый,,,,245 л.с.,3.0
Audi,A6,1 698 000 q,,79 041,бензин,автомат,белый,седан,,левый,,,,190 л.с.,1.8
Audi,Q5,2 349 000 q,,118 749,бензин,автомат,синий,,,левый,,,,249 л.с.,2.0
Audi,Q5,1 009 000 q,,109 366,бензин,автомат,коричневый,,,левый,,,,271 л.с.,3.2
Audi,A4,850 000 q,,128 843,бензин,автомат,черный,седан,,левый,,,,170 л.с.,1.8
Audi,Q7,1 299 000 q,,193 400,дизель,автомат,серый,,,левый,,,,326 л.с.,4.1
Audi,A4,200 000 q,,,бензин,механика,черный,универсал,,левый,,,,125 л.с.,1.8
Audi,Q7,3 749 000 q,,85 045,дизель,автомат,черный,,,левый,,,,249 л.с.,3.0
Audi,100,80 000 q,,350 000,бензин,механика,красный,седан,,левый,,,,138 л.с.,2.2
Audi,100,49 000 q,,228 000,бензин,механика,голубой,седан,,левый,,,,90 л.с.,1.8
Audi,Q3,1 295 000 q,,96 427,бензин,автомат,черный,,,левый,,,,170 л.с.,2.0
Audi,Q3,1 250 000 q,,104 544,бензин,,красный,,,левый,,,,,1.4
Audi,A4,3 408 192 q,,0,бензин,автомат,черный,,,левый,WAUZZZF43MA****04,,,249 л.с.,2.0
Audi,A6,1 675 000 q,,119 081,бензин,автомат,черный,,,левый,,,,310 л.с.,3.0
Audi,A6,1 132 000 q,,158 522,бензин,автомат,белый,седан,,левый,,,,180 л.с.,2.0
Audi,Q5,2 747 000 q,,69 041,бензин,автомат,белый,,,левый,,,,249 л.с.,2.0
